sha256	member_count	size_bytes	wasted_bytes	cross_tree	trees	members	reachability
9fc3ded4c2802878c7292f08233a98e54def2c43ef016c3873b841bb1dfd7d8a	2	1285	1285	yes	document-portal | styles	document-portal/ds/tokens/tokens.density.css | styles/dgo-design-system/tokens/tokens.density.css	document-portal/ds/tokens/tokens.density.css=asset-referenced | styles/dgo-design-system/tokens/tokens.density.css=asset-referenced
d94ae4a79888097afb71a4ffe5433a115b04b8d720ef0ecbeea76823fa327d35	2	5786	5786	yes	document-portal | styles	document-portal/ds/tokens/tokens.component.css | styles/dgo-design-system/tokens/tokens.component.css	document-portal/ds/tokens/tokens.component.css=asset-referenced | styles/dgo-design-system/tokens/tokens.component.css=asset-referenced
