flow_purpose,secret_name,exists_before_build,created_identifier,url_vault_reference,notes
submission,DGO_ENDPOINT_INTAKE_SUBMISSION,null,null,vault://pilot/endpoints/INTAKE_SUBMISSION,
upload,DGO_ENDPOINT_INTAKE_UPLOAD,null,null,vault://pilot/endpoints/INTAKE_UPLOAD,V8 may reference same underlying flow
status,DGO_ENDPOINT_INTAKE_STATUS,null,null,vault://pilot/endpoints/INTAKE_STATUS,
support,DGO_ENDPOINT_INTAKE_SUPPORT,null,null,vault://pilot/endpoints/INTAKE_SUPPORT,
verify-email,DGO_ENDPOINT_INTAKE_VERIFY_EMAIL,null,null,vault://pilot/endpoints/INTAKE_VERIFY_EMAIL,
scan-upload,DGO_ENDPOINT_SCAN_UPLOAD,null,null,vault://pilot/endpoints/SCAN_UPLOAD,Optional separate secret
